Razão Social;CNPJ;Endereço;BAIRRO;CEP;UF;MUNICÍPIO
AUTO POSTO DO TRABALHO VILA DA PENHA LTDA;24242250000104;AVENIDA VICENTE DE CARVALHO,  1388;PENHA CIRCULAR;21210154;RJ;RIO DE JANEIRO
AUTO POSTO DO TRABALHO TIJUCA LTDA;24242317000100;RUA BARAO DE PIRASSINUNGA,  04;TIJUCA;20521170;RJ;RIO DE JANEIRO
AUTO POSTO DO TRABALHO RAMOS LTDA;24244755000108;RUA BARREIROS,  432;RAMOS;21031753;RJ;RIO DE JANEIRO
AUTO POSTO DO TRABALHO SAO CRISTOVAO LTDA;24244799000120;AVENIDA BRASIL,  1957;BENFICA;20930041;RJ;RIO DE JANEIRO
AUTO POSTO DO TRABALHO SANTISSIMO LTDA;24247497000105;AVENIDA DE SANTA CRUZ,  10824;SANTISSIMO;23010185;RJ;RIO DE JANEIRO
AUTO POSTO DO TRABALHO RIO COMPRIDO LTDA;24247515000159;RUA ITAPIRU,  941;CATUMBI;20251033;RJ;RIO DE JANEIRO
AUTO POSTO DO TRABALHO SANTA CRUZ LTDA;24248848000100;AVENIDA BRASIL,  55496;PACIENCIA;23575202;RJ;RIO DE JANEIRO
AUTO POSTO DO TRABALHO BELISARIO PENA LTDA;24248958000164;RUA BELISARIO PENA,  618;PENHA;21020010;RJ;RIO DE JANEIRO
AUTO POSTO DO TRABALHO MARACANA LTDA;24314878000160;RUA SAO FRANCISCO XAVIER,  312;MARACANA;20550013;RJ;RIO DE JANEIRO
AUTO POSTO MEM DE SA LTDA;26507310000190;AVENIDA MEM DE SA,  225;CENTRO;20230151;RJ;RIO DE JANEIRO
POSTO DE GASOLINA NOTA 10 DO GRAJAU LTDA;26643967000185;RUA BARAO DO BOM RETIRO,  1864;GRAJAU;20540342;RJ;RIO DE JANEIRO
POSTO DE COMBUSTIVEIS SAO DIMAS LTDA;27735297000190;RUA ALVARO RAMOS,  8;BOTAFOGO;22280110;RJ;RIO DE JANEIRO
AUTO POSTO TORINO LTDA;28240927000118;RUA ALVARO ALBERTO,  780;SANTA CRUZ;23550000;RJ;RIO DE JANEIRO
AUTO POSTO MASP JARDIM LTDA.;28455080000199;AVENIDA EMBAIXADOR ABELARDO BUENO,  0;BARRA DA TIJUCA;22775040;RJ;RIO DE JANEIRO
CARBAT DIST E ASSES DO COM DE DERIV DE PET LTDA;29456787000182;ESTRADA TRES RIOS,  2141;JACAREPAGUA;22740000;RJ;RIO DE JANEIRO
AUTO POSTO MONALISA LIMITADA;29520756000143;RUA JARDIM BOTANICO,  134;JARDIM BOTÂNICO;22461000;RJ;RIO DE JANEIRO
AUTO POSTO MASP QUINTA LTDA;30076676000120;RUA JOSE EUGENIO,  00011;SAO CRISTOVAO;20941140;RJ;RIO DE JANEIRO
POSTO ACONCHEGO DO VELHO LTDA;30662357000104;AVENIDA DE SANTA CRUZ,  6640;SENADOR CAMARA;21830264;RJ;RIO DE JANEIRO
AUTO POSTO DE GASOLINA E SERVICOS L & Z LTDA;31190986000133;ESTRADA DOS BANDEIRANTES,  23579;VARGEM GRANDE;22785091;RJ;RIO DE JANEIRO
AUTO POSTO LAGOA CARIOCA LTDA;31251202000130;AVENIDA EPITACIO PESSOA,  03666;LAGOA;22471004;RJ;RIO DE JANEIRO
COMERCIO DE PETROLEO E DERIVADOS GETULIO LTDA;31266569000127;AVENIDA GEREMARIO DANTAS,  00961;PECHINCHA;22743011;RJ;RIO DE JANEIRO
DISTRIBUIDORA WAY DE COMBUSTIVEIS LTDA;32156085000198;AVENIDA DAS AMERICAS,  2100;BARRA DA TIJUCA;22640101;RJ;RIO DE JANEIRO
POSTO DE GASOLINA JANA LTDA;32351470000196;RUA ITABIRA,  521;CORDOVIL;21215310;RJ;RIO DE JANEIRO
POSTO DE GASOLINA E LUBRIFICACAO ENGENHO DE DENTRO LTDA;33114208000190;AVENIDA AMARO CAVALCANTE,  1701;ENGENHO DE DENTRO;20735040;RJ;RIO DE JANEIRO
AUTO BENDIX WOLKS LTDA;33202581000101;RUA FREI CANECA,  312;CENTRO;20211050;RJ;RIO DE JANEIRO
POSTO DE GASOLINA N S DA PENHA LTDA;33267816000135;AVENIDA BRAZ DE PINA,  253;PENHA;21011400;RJ;RIO DE JANEIRO
POSTO DE GASOLINA SANTA LUZIA LTDA;33283177000100;AVENIDA BRASIL,  6325;RAMOS;21040360;RJ;RIO DE JANEIRO
POSTO DE GASOLINA ANDARAI LTDA;33638123000101;RUA BARAO DE MESQUITA,  558;ANDARAI;20540003;RJ;RIO DE JANEIRO
POSTO DE GASOLINA OLIVEIRENSE LTDA;33683921000155;RUA FRANCISCO REAL,  1116;BANGU;21810041;RJ;RIO DE JANEIRO
POSTO DE GASOLINA CENTRAL DA ABOLICAO LTDA;33832783000129;AVENIDA SUBURBANA,  7240;ABOLICAO;20751002;RJ;RIO DE JANEIRO
PONEI POSTO DE GASOLINA LTDA;34035303000161;AVENIDA BORGES DE MEDEIROS,  3151;LAGOA;22470001;RJ;RIO DE JANEIRO
POSTO DE GASOLINA CORDEIRO LTDA;34066472000169;AVENIDA GEREMARIO DANTAS,  1321;JACAREPAGUA;22760400;RJ;RIO DE JANEIRO
POSTO DE GASOLINA E LUBRIFICACAO IPINORT LTDA;34294041000150;AVENIDA LUZITANIA,  329;PENHA;21011400;RJ;RIO DE JANEIRO
POSTO DE GASOLINA AMOR LTDA;34381616000171;RUA FRANCISCO REAL,  560;PADRE MIGUEL;21715421;RJ;RIO DE JANEIRO
AUTOPOSTO DE COMBUSTIVEIS MASP ITANHANGA LTDA.;37819353000128;AVENIDA ENGENHEIRO SOUZA FILHO,  00400;ITANHANGA;22753053;RJ;RIO DE JANEIRO
AUTO POSTO JARDIM CARIOCA LTDA;39413174000111;RUA MUIATUCA,  125;JD CARIOCA;21921680;RJ;RIO DE JANEIRO
POSTO BARRA LINDA LTDA;39535059000110;AVENIDA DAS AMERICAS,  7000;BARRA DA TIJUCA;22793081;RJ;RIO DE JANEIRO
DAYSTAR AUTO POSTO BARRA LTDA;39567674000108;AVENIDA DAS AMERICAS,  01510;BARRA DA TIJUCA;22640900;RJ;RIO DE JANEIRO
KEM COM REP TRANSP SERV EXP IMP PROD DERV PETROLEO LTDA;40296824000175; ETR  MARECHAL ALENCASTRO,  3660;ANCHIETA;21625000;RJ;RIO DE JANEIRO
POSTO E GARAGEM RIO MONDEGO LTDA;42118018000132;RUA GENERAL ESPIRITO SANTO CARDOSO,  57;TIJUCA;20530500;RJ;RIO DE JANEIRO
POSTO DE GASOLINA BANDEIRA DOIS LTDA;42149732000198;RUA MENA BARRETO,  38;BOTAFOGO;22271100;RJ;RIO DE JANEIRO
AUTO POSTO MEU CEARA LTDA;42186593000172;RUA DA REGENERACAO,  615;BONSUCESSO;21040170;RJ;RIO DE JANEIRO
ITAIPU POSTO DE LAVAGEM E LUBRIFICAÇAO LTDA;42226621000138;RUA JOSE DOS REIS,  1863;ENGENHO DE DENTRO;20000000;RJ;RIO DE JANEIRO
AUTO ABASTECIMENTO LOVE STORY LTDA.;42247064000131; ETR  DA BARRA DA TIJUCA,  2770;BARRA DA TIJUCA;22641002;RJ;RIO DE JANEIRO
AUTO POSTO CRISTIANE LTDA;42254086000129;ESTRADA DOS BANDEIRANTES,  4680;JACAREPAGUA;22783117;RJ;RIO DE JANEIRO
AUTO POSTO NIASO LTDA;42291799000162;ESTRADA ENGENHO DA PEDRA,  755;OLARIA;21031030;RJ;RIO DE JANEIRO
POSTO DE GASOLINA DOM PEDRO II LTDA;42331363000150;RUA DAS LARANJEIRAS,  75 79;LARANJEIRAS;22240000;RJ;RIO DE JANEIRO
AUTO POSTO MERCURIO DA PAVUNA LTDA;42473785000160;RUA MERCURIO,  1450;PAVUNA;21532470;RJ;RIO DE JANEIRO
POSTO DE GASOLINA DAS AMERICAS LTDA;42547620000195;AVENIDA DAS AMERICAS,  14951;RECREIO DOS BANDEIRANTES;22790701;RJ;RIO DE JANEIRO
POSTO DE AUTO SERVICO CARMINDAO LTDA;42561944000188;AVENIDA ITAOCA,  1651;BONSUCESSO;21061020;RJ;RIO DE JANEIRO
AUTO POSTO TRES PONTOS LTDA;42609602000190;ESTRADA DO CACHAMORRA,  1280;CAMPO GRANDE;23040150;RJ;RIO DE JANEIRO
POSTO DE GASOLINA JOINHA LTDA;42610295000168;RUA CANDIDO BENICIO,  687;JACAREPAGUA;22733000;RJ;RIO DE JANEIRO
AUTO POSTO CRUZADA PENINSULA LTDA.;47308253000190;AVENIDA LUIZ CARLOS PRESTES,  S/N;BARRA DA TIJUCA;23032070;RJ;RIO DE JANEIRO
COMPANHIA BRASILEIRA DE DISTRIBUICAO;47508411241510;RUA JOSE DOS REIS,  1347;ENGENHO DE DENTRO;20770061;RJ;RIO DE JANEIRO
COMPANHIA BRASILEIRA DE DISTRIBUICAO;47508411245183;AVENIDA PADRE GUILHERME DECAMINADA,  2385;SANTA CRUZ;23575000;RJ;RIO DE JANEIRO
AUTO POSTO GUERENGUE MINISHOP LTDA;68719541000108;ESTRADA DO GUERENGUE,  1291;JACAREPAGUA;22713001;RJ;RIO DE JANEIRO
CW 332 SERVICOS AUTOMOTORES LTDA;72374952000186;RUA REAL GRANDEZA,  336;BOTAFOGO;22281032;RJ;RIO DE JANEIRO
POSTO DE SERVICOS VIA 8 LTDA;97468946000119;ESTRADA DOS BANDEIRANTES,  4205;JACAREPAGUA;22783117;RJ;RIO DE JANEIRO
AUTO POSTO MACHADO LTDA;02924411000280;RODOVIA DE DUCA SERRA,  809;CABRALZINHO;68906801;AP;MACAPA
J C DA S FARIAS EIRELI;03281737000118;AVENIDA ANTONIO COELHO DE CARVALHO,  2257;CENTRAL;68901280;AP;MACAPA
J C DA S FARIAS EIRELI;03281737000207;RODOVIA DE DUCA SERRA,  S/N;MARABAIXO;68906301;AP;MACAPA
AEROPOSTO COMBUSTIVEIS AUTOMOTIVOS LTDA;08580311000260;RODOVIA JUSCELINO KUBITSCHEK,  3011;UNIVERSIDADE;68903419;AP;MACAPA
AEROPOSTO COMBUSTIVEIS AUTOMOTIVOS LTDA;08580311000340;RUA LEOPOLDO MACHADO,  4246;BEIROL;68902020;AP;MACAPA
MACHADO & ANDRADE LTDA;08945482000164;RODOVIA JUSCELINO KUBITSCHEK,  841;JARDIM MARCO ZERO;68903014;AP;MACAPA
AUTO POSTO PLAYCENTER LTDA;09087882000149;RODOVIA JUSCELINO KUBITSCHEK,  S/N;JARDIM EQUATORIAL;68903970;AP;MACAPA
AUTO POSTO SANTA LUIZA LTDA;09217162000150;RUA HILDEMAR MAIA,  3481;BURITIZA;68902870;AP;MACAPA
REAL PETROLEO LTDA;09405430000591;RUA HAMILTON SILVA,  2228;CENTRAL;68900068;AP;MACAPA
POSTO DE COMBUSTIVEIS JARDINS LTDA;10522077000185;RUA VEREADOR JULIO MARIA PINTO PEREIRA,  1430;JARDIM FELICIDADE;68909000;AP;MACAPA
POSTO DE COMBUSTIVEIS JARDINS LTDA;10522077000428;RUA INSPETOR AIMORE,  670;ZERAO;68903290;AP;MACAPA
POSTO DE COMBUSTIVEIS JARDINS LTDA;10522077000690;AVENIDA DAS UVAS,  107;INFRAERO;68908794;AP;MACAPA
POSTO DE COMBUSTIVEIS JARDINS LTDA;10522077000770;RUA LEOPOLDO MACHADO,  1525;CENTRAL;68900067;AP;MACAPA
POSTO DE COMBUSTIVEIS JARDINS LTDA;10522077000932;RAMAL DA UNIFAP (KM 02 DA ROD, JK.),  1781;UNIVERSIDADE;68903758;AP;MACAPA
POSTO DE COMBUSTIVEIS JARDINS LTDA;10522077001157;RODOVIA DEDUCA SERRA,  6719;CABRALZINHO;68906801;AP;MACAPA
POSTO DE COMBUSTIVEIS JARDINS LTDA;10522077001408;CAN DAS PEDRINHAS,  2033;ZERÃO;68903660;AP;MACAPA
POSTO DE COMBUSTIVEIS JARDINS LTDA;10522077001580;AVENIDA MARCILIO DIAS,  321;JULIAO RAMOS;68908200;AP;MACAPA
POSTO DE COMBUSTIVEIS JARDINS LTDA;10522077001661;AVENIDA SALGADO FILHO,  643;CENTRAL;68900032;AP;MACAPA
FORTE PETROLEO LTDA;14008376000157;RUA SANTOS DUMONT,  3460;MUCA;68902230;AP;MACAPA
MONTE & FILHOS LTDA;14572838000245;RODOVIA JUSCELINO KUBSTCHECK,  S/N;MARCO ZERO;68903000;AP;MACAPA
W DA R CIRQUEIRA;20488504000100;AVENIDA COQUEIRO,  201;BRASIL NOVO;68909315;AP;MACAPA
W DA R CIRQUEIRA II LTDA;28118437000143;RUA RANOLFO DE SOUZA GATO,  1106;MARABAIXO;68909891;AP;MACAPA
POSTO CATARINAO EIRELI;33372810000128;RODOVIA BR-210,  SN;BRASIL NOVO;68909398;AP;MACAPA
POSTO ANDRADE LTDA;37893090000105;AVENIDA PEDRO LAZARINO,  54;SANTA INES;68901541;AP;MACAPA
POSTO ANDRADE LTDA;37893090000288;RUA SAO PAULO,  381;PACOVAL;68908370;AP;MACAPA
POSTO GOLL PADRE JULIO LTDA;47541680000114;RUA ODILARDO SILVA,  1894;CENTRAL;68900151;AP;MACAPA
AUTO POSTO SAMAUMA LTDA;02486741000150;AVENIDA SAMAUMA,  2;CIDADE NOVA;69090650;AM;MANAUS
AUTO POSTO SAMAUMA LTDA;02486741000230;AVENIDA TORQUATO TAPAJOS,  926;SANTA ETELVINA;69048660;AM;MANAUS
COTAM - COOPERATIVA DE CONSUMO DOS TAXISTAS AUTONOMOS DE MANAUS;02533862000377;RUA QUINTINO BOCAIUVA,  742;CENTRO;69005110;AM;MANAUS
AMC DE MENEZES;04239912000171; BAIA DO RIO NEGRO,  SN;EDUCANDOS;69074780;AM;MANAUS
GDA PETROLEO LTDA;04564225000121;AVENIDA ALVARO MAIA,  S/N;CENTRO;69025070;AM;MANAUS
PETROMAM REPRESENTAÇOES E COMERCIO LTDA;05511753000185;AVENIDA COSME FERREIRA,  8991;ALEIXO;69083000;AM;MANAUS
RECOPEL REPRESENTAÇOES E COMERCIO LTDA;05514674000128;AVENIDA AUTAZ MIRIM,  1716;DISTRITO INDUSTRIAL;69085000;AM;MANAUS
BB REVENDEDORA DE DERIVADOS DE PETROLEO LTDA;08083906000129;RUA SANTA MARIA,  2;ZUMBI DOS PALMARES;69084452;AM;MANAUS
M J COMERCIO DE COMBUSTIVEIS E TRANSPORTE LTDA;08900277000182;AVENIDA MARQUES VILLA REAL DE PRAIA GRANDE,  1;FLORES;69058100;AM;MANAUS
AMAZONIA TRANSPORTE IMPORTAÇAO E EXPORTAÇAO LTDA;09417537000126;RUA CONDE DE SERGIMIRIM,  284;FLORES;69058402;AM;MANAUS
V K COMERCIO DE DERIVADOS DE PETROLEO LTDA;10264755000157;RUA DONA MIMI,  555;MORRO DA LIBERDADE;69074760;AM;MANAUS
D. R. A. DERIVADO DE PETROLEO LTDA;10773536000101;RUA COMANDANTE  NORBERTO WONGAL,  33;REDENÇÃO;69047095;AM;MANAUS
D. R. A. DERIVADO DE PETROLEO LTDA;10773536000284;RUA VALERIO BOTELHO DE ANDRADE,  284;SAO FRANCISCO;69079260;AM;MANAUS
AUTO POSTO UNIAO LTDA;23029382000777;AVENIDA TEFE,  78;RAIZ;69068000;AM;MANAUS
AUTO POSTO UNIAO LTDA;23029382000858;AVENIDA TEFE,  2165;RAIZ;69068000;AM;MANAUS
LVM COMERCIO VAREJISTA DE DERIVADOS DE PETROLEO LTDA;26823718000171;AVENIDA TENENTE ROXANA BONESSI (CJ GALILEIA LL),  3785;NOVA CIDADE;69092000;AM;MANAUS
POSTO SAO JOSE COMERCIO DE DERIVADOS DE PETROLEO LTDA;27698977000180;AVENIDA AUTAZ MIRIM,  64;SAO JOSE OPERARIO;69085000;AM;MANAUS
AUTO POSTO CRM LTDA;30190007000184;RUA CEL FERREIRA DE ARAUJO,  809;PETROPOLIS;69063000;AM;MANAUS
AUTO POSTO ALEIXO LTDA;30190091000136;AVENIDA COSME FERREIRA,  6039;ALEIXO;69083000;AM;MANAUS
AUTO POSTO RAQUEL LTDA;30190358000195;RUA DONA RAQUEL SOUZA,  39;PETROPOLIS;69063590;AM;MANAUS
AUTO POSTO RECIFE LTDA;30273903000107;AVENIDA RECIFE,  200;FLORES;69058775;AM;MANAUS
AUTO POSTO PONTA NEGRA LTDA;35008891000107;AVENIDA CORONEL TEIXEIRA,  7461;NOVA ESPERANCA;69037473;AM;MANAUS
AUTO POSTO ARENA LTDA;40242761000174;RUA LORIS CORDOVIL,  907;ALVORADA;69043010;AM;MANAUS
AUTO POSTO DJALMA LTDA;42562612000118;AVENIDA DJALMA BATISTA,  5235;PARQUE 10 DE NOVEMBRO;69055038;AM;MANAUS
A F L COMERCIO DE DERIVADOS DE PETROLEO LTDA;45455387000109;AVENIDA PROFESSOR NILTON LINS,  1880;FLORES;69058130;AM;MANAUS
MUCURIPE COMERCIO DE COMBUSTIVEIS LTDA;84110394000554;RUA MACEIO,  132;ADRIANOPOLIS;69057010;AM;MANAUS
MUCURIPE COMERCIO DE COMBUSTIVEIS LTDA;84110394003308;AVENIDA SENADOR RAIMUNDO PARENTE,  215;ALVORADA;69048662;AM;MANAUS
MUCURIPE COMERCIO DE COMBUSTIVEIS LTDA;84110394003570;RUA CHIQUINHA GONZAGA,  214;PETROPOLIS;69067045;AM;MANAUS
JATOLUX COMERCIO E REPRES. LTDA;84529569000139;RUA EMILIO MOREIRA,  1669;PRAÇA 14 DE JANEIRO;69020040;AM;MANAUS
J&J COMBUSTIVEIS LTDA;06115130000156;AVENIDA ANTONIO CARLOS MAGALHAES,  5863;SANTA TERESA;40265200;BA;SALVADOR
SOBRAL & FILHOS COMERCIO DE COMBUSTIVEIS LTDA;11322064001288;AVENIDA GENERAL GRACA LESSA,  000305;ENGENHO VELHO DE BROTAS;40240325;BA;SALVADOR
J A SOBRAL & CIA LTDA;13799101000892;RUA DJALMA DUTRA,  141;NAZARE;40240080;BA;SALVADOR
POSTO INDEPENDENCIA DE LUBRIFICACAO LTDA;15127988000121;LADEIRA DA INDEPENDENCIA,  173;NAZARE;40040340;BA;SALVADOR
COELHO COMERCIO DE COMBUSTIVEIS LTDA;15621824000156;AVENIDA PRESIDENTE VARGAS,  S/N;ONDINA;40170010;BA;SALVADOR
S DANTAS E FILHOS LTDA;15623002000104;AVENIDA SAO LUIS,  S/N;PARIPE;40810630;BA;SALVADOR
WF COMERCIO DE COMBUSTIVEIS E SERVICOS LTDA;18317568000104;AVENIDA PROFESSOR MANOEL RIBEIRO,  S/N;STIEP;41770095;BA;SALVADOR
GARDA COMERCIO DE COMBUSTIVEIS LTDA;36240171000135;AVENIDA PROFESSOR PINTO DE AGUIAR,  649;PITUACU;41740090;BA;SALVADOR
H M A COMERCIAL DE COMBUSTIVEIS LTDA;01564759000160;RUA PROF GOMES BRASIL,  475;PARANGABA;60720150;CE;FORTALEZA
TVC COMERCIO DE DERIVADOS DE PETROLEO LTDA;01690127000142;RUA BARAO AQUIRAZ,  3101;COACU;60871684;CE;FORTALEZA
JG COMERCIO DE PETROLEO LTDA;02135496000217;RUA ENG ANTONIO FERREIRA ANTERO,  455;COCO;60821765;CE;FORTALEZA
DAMPETRO COMERCIO DE DERIVADOS DE PETROLEO LTDA;02486455000194;AVENIDA BARAO DE STUDART,  1050;ALDEOTA;60120001;CE;FORTALEZA
G A COMERCIO DE DERIVADOS DE PETROLEO LTDA;03477535000146;AVENIDA JORNALISTA TOMAZ COELHO,  410;MESSEJANA;60842020;CE;FORTALEZA
MILLENNIUM PETROLEO LTDA;03524403000128;AVENIDA DEPUTADO PAULINO ROCHA,  3003;CASTELAO;60864310;CE;FORTALEZA
SUPER COMERCIO DE COMBUSTIVEIS LTDA;03720675000101;TRAVESSA PARIS,  1133;PAPICU;60175690;CE;FORTALEZA
BARRACUDA COMERCIAL DE PETROLEO LTDA;06220994000138;RUA GODOFREDO MACIEL,  277;PARANGABA;60710000;CE;FORTALEZA
IGUATEMI DERIVADOS DE PETROLEO LTDA;07304199000352;AVENIDA OSORIO DE PAIVA,  6800;SIQUEIRA;60720001;CE;FORTALEZA
SUELLEN QUEIROS PINHEIRO - ME;07913812000177;AVENIDA D,  1289;CONJUNTO CEARA;60533620;CE;FORTALEZA
LEONARDO LIMA E CIA LTDA - EPP;07936289000102;AVENIDA PRES CASTELO BRANCO,  709;JACARECANGA;60312060;CE;FORTALEZA
MONTEZUMA COMERCIO E SERVICOS DE PETROLEO LTDA;08394192000170;AVENIDA ESTRADA BARAO DE AQUIRAZ,  2530;COACU;60871684;CE;FORTALEZA
MONTEZUMA COMERCIO E SERVICOS DE PETROLEO LTDA;08394192000684;RUA GRACA ARANHA,  150;BARRA DO CEARA;60334170;CE;FORTALEZA
JOCKEY COMÉRCIO DE COMBUSTÍVEIS LTDA.;09324577000123;AVENIDA LINEU MACHADO,  560;PICI;60520380;CE;FORTALEZA
