id_comb;id_data;nome_comb;tipo_comb;custo_comb
4;32;Ipimax Gasolina Aditivada;Aditivado;4.68
6;32;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;32;Ipimax Etanol Aditivado;Aditivado;4.08
1;32;Original gasolina;Comum;3.28
2;32;Original Diesel ;Comum;3.88
3;32;Original Etanol ;Comum;3.08
7;32;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;33;Ipimax Gasolina Aditivada;Aditivado;4.68
6;33;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;33;Ipimax Etanol Aditivado;Aditivado;4.08
1;33;Original gasolina;Comum;3.28
2;33;Original Diesel ;Comum;3.88
3;33;Original Etanol ;Comum;3.08
7;33;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;34;Ipimax Gasolina Aditivada;Aditivado;4.68
6;34;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;34;Ipimax Etanol Aditivado;Aditivado;4.08
1;34;Original gasolina;Comum;3.28
2;34;Original Diesel ;Comum;3.88
3;34;Original Etanol ;Comum;3.08
7;34;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;35;Ipimax Gasolina Aditivada;Aditivado;4.68
6;35;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;35;Ipimax Etanol Aditivado;Aditivado;4.08
1;35;Original gasolina;Comum;3.28
2;35;Original Diesel ;Comum;3.88
3;35;Original Etanol ;Comum;3.08
7;35;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;36;Ipimax Gasolina Aditivada;Aditivado;4.68
6;36;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;36;Ipimax Etanol Aditivado;Aditivado;4.08
1;36;Original gasolina;Comum;3.28
2;36;Original Diesel ;Comum;3.88
3;36;Original Etanol ;Comum;3.08
7;36;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;37;Ipimax Gasolina Aditivada;Aditivado;4.68
6;37;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;37;Ipimax Etanol Aditivado;Aditivado;4.08
1;37;Original gasolina;Comum;3.28
2;37;Original Diesel ;Comum;3.88
3;37;Original Etanol ;Comum;3.08
7;37;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;38;Ipimax Gasolina Aditivada;Aditivado;4.68
6;38;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;38;Ipimax Etanol Aditivado;Aditivado;4.08
1;38;Original gasolina;Comum;3.28
2;38;Original Diesel ;Comum;3.88
3;38;Original Etanol ;Comum;3.08
7;38;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;39;Ipimax Gasolina Aditivada;Aditivado;4.68
6;39;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;39;Ipimax Etanol Aditivado;Aditivado;4.08
1;39;Original gasolina;Comum;3.28
2;39;Original Diesel ;Comum;3.88
3;39;Original Etanol ;Comum;3.08
7;39;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;40;Ipimax Gasolina Aditivada;Aditivado;4.68
6;40;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;40;Ipimax Etanol Aditivado;Aditivado;4.08
1;40;Original gasolina;Comum;3.28
2;40;Original Diesel ;Comum;3.88
3;40;Original Etanol ;Comum;3.08
7;40;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;41;Ipimax Gasolina Aditivada;Aditivado;4.68
6;41;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;41;Ipimax Etanol Aditivado;Aditivado;4.08
1;41;Original gasolina;Comum;3.28
2;41;Original Diesel ;Comum;3.88
3;41;Original Etanol ;Comum;3.08
7;41;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;42;Ipimax Gasolina Aditivada;Aditivado;4.68
6;42;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;42;Ipimax Etanol Aditivado;Aditivado;4.08
1;42;Original gasolina;Comum;3.28
2;42;Original Diesel ;Comum;3.88
3;42;Original Etanol ;Comum;3.08
7;42;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;43;Ipimax Gasolina Aditivada;Aditivado;4.68
6;43;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;43;Ipimax Etanol Aditivado;Aditivado;4.08
1;43;Original gasolina;Comum;3.28
2;43;Original Diesel ;Comum;3.88
3;43;Original Etanol ;Comum;3.08
7;43;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;44;Ipimax Gasolina Aditivada;Aditivado;4.68
6;44;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;44;Ipimax Etanol Aditivado;Aditivado;4.08
1;44;Original gasolina;Comum;3.28
2;44;Original Diesel ;Comum;3.88
3;44;Original Etanol ;Comum;3.08
7;44;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;45;Ipimax Gasolina Aditivada;Aditivado;4.68
6;45;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;45;Ipimax Etanol Aditivado;Aditivado;4.08
1;45;Original gasolina;Comum;3.28
2;45;Original Diesel ;Comum;3.88
3;45;Original Etanol ;Comum;3.08
7;45;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;46;Ipimax Gasolina Aditivada;Aditivado;4.68
6;46;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;46;Ipimax Etanol Aditivado;Aditivado;4.08
1;46;Original gasolina;Comum;3.28
2;46;Original Diesel ;Comum;3.88
3;46;Original Etanol ;Comum;3.08
7;46;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;47;Ipimax Gasolina Aditivada;Aditivado;4.68
6;47;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;47;Ipimax Etanol Aditivado;Aditivado;4.08
1;47;Original gasolina;Comum;3.28
2;47;Original Diesel ;Comum;3.88
3;47;Original Etanol ;Comum;3.08
7;47;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;48;Ipimax Gasolina Aditivada;Aditivado;4.68
6;48;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;48;Ipimax Etanol Aditivado;Aditivado;4.08
1;48;Original gasolina;Comum;3.28
2;48;Original Diesel ;Comum;3.88
3;48;Original Etanol ;Comum;3.08
7;48;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;49;Ipimax Gasolina Aditivada;Aditivado;4.68
6;49;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;49;Ipimax Etanol Aditivado;Aditivado;4.08
1;49;Original gasolina;Comum;3.28
2;49;Original Diesel ;Comum;3.88
3;49;Original Etanol ;Comum;3.08
7;49;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;50;Ipimax Gasolina Aditivada;Aditivado;4.68
6;50;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;50;Ipimax Etanol Aditivado;Aditivado;4.08
1;50;Original gasolina;Comum;3.28
2;50;Original Diesel ;Comum;3.88
3;50;Original Etanol ;Comum;3.08
7;50;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;51;Ipimax Gasolina Aditivada;Aditivado;4.68
6;51;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;51;Ipimax Etanol Aditivado;Aditivado;4.08
1;51;Original gasolina;Comum;3.28
2;51;Original Diesel ;Comum;3.88
3;51;Original Etanol ;Comum;3.08
7;51;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;52;Ipimax Gasolina Aditivada;Aditivado;4.68
6;52;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;52;Ipimax Etanol Aditivado;Aditivado;4.08
1;52;Original gasolina;Comum;3.28
2;52;Original Diesel ;Comum;3.88
3;52;Original Etanol ;Comum;3.08
7;52;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;53;Ipimax Gasolina Aditivada;Aditivado;4.68
6;53;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;53;Ipimax Etanol Aditivado;Aditivado;4.08
1;53;Original gasolina;Comum;3.28
2;53;Original Diesel ;Comum;3.88
3;53;Original Etanol ;Comum;3.08
7;53;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;54;Ipimax Gasolina Aditivada;Aditivado;4.68
6;54;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;54;Ipimax Etanol Aditivado;Aditivado;4.08
1;54;Original gasolina;Comum;3.28
2;54;Original Diesel ;Comum;3.88
3;54;Original Etanol ;Comum;3.08
7;54;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;55;Ipimax Gasolina Aditivada;Aditivado;4.68
6;55;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;55;Ipimax Etanol Aditivado;Aditivado;4.08
1;55;Original gasolina;Comum;3.28
2;55;Original Diesel ;Comum;3.88
3;55;Original Etanol ;Comum;3.08
7;55;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;56;Ipimax Gasolina Aditivada;Aditivado;4.68
6;56;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;56;Ipimax Etanol Aditivado;Aditivado;4.08
1;56;Original gasolina;Comum;3.28
2;56;Original Diesel ;Comum;3.88
3;56;Original Etanol ;Comum;3.08
7;56;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;57;Ipimax Gasolina Aditivada;Aditivado;4.68
6;57;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;57;Ipimax Etanol Aditivado;Aditivado;4.08
1;57;Original gasolina;Comum;3.28
2;57;Original Diesel ;Comum;3.88
3;57;Original Etanol ;Comum;3.08
7;57;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;58;Ipimax Gasolina Aditivada;Aditivado;4.68
6;58;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;58;Ipimax Etanol Aditivado;Aditivado;4.08
1;58;Original gasolina;Comum;3.28
2;58;Original Diesel ;Comum;3.88
3;58;Original Etanol ;Comum;3.08
7;58;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;59;Ipimax Gasolina Aditivada;Aditivado;4.68
6;59;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;59;Ipimax Etanol Aditivado;Aditivado;4.08
1;59;Original gasolina;Comum;3.28
2;59;Original Diesel ;Comum;3.88
3;59;Original Etanol ;Comum;3.08
7;59;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;60;Ipimax Gasolina Aditivada;Aditivado;4.68
6;60;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;60;Ipimax Etanol Aditivado;Aditivado;4.08
1;60;Original gasolina;Comum;3.28
2;60;Original Diesel ;Comum;3.88
3;60;Original Etanol ;Comum;3.08
7;60;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;61;Ipimax Gasolina Aditivada;Aditivado;4.68
6;61;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;61;Ipimax Etanol Aditivado;Aditivado;4.08
1;61;Original gasolina;Comum;3.28
2;61;Original Diesel ;Comum;3.88
3;61;Original Etanol ;Comum;3.08
7;61;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;62;Ipimax Gasolina Aditivada;Aditivado;4.68
6;62;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;62;Ipimax Etanol Aditivado;Aditivado;4.08
1;62;Original gasolina;Comum;3.28
2;62;Original Diesel ;Comum;3.88
3;62;Original Etanol ;Comum;3.08
7;62;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;63;Ipimax Gasolina Aditivada;Aditivado;4.68
6;63;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;63;Ipimax Etanol Aditivado;Aditivado;4.08
1;63;Original gasolina;Comum;3.28
2;63;Original Diesel ;Comum;3.88
3;63;Original Etanol ;Comum;3.08
7;63;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;64;Ipimax Gasolina Aditivada;Aditivado;4.68
6;64;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;64;Ipimax Etanol Aditivado;Aditivado;4.08
1;64;Original gasolina;Comum;3.28
2;64;Original Diesel ;Comum;3.88
3;64;Original Etanol ;Comum;3.08
7;64;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;65;Ipimax Gasolina Aditivada;Aditivado;4.68
6;65;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;65;Ipimax Etanol Aditivado;Aditivado;4.08
1;65;Original gasolina;Comum;3.28
2;65;Original Diesel ;Comum;3.88
3;65;Original Etanol ;Comum;3.08
7;65;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;66;Ipimax Gasolina Aditivada;Aditivado;4.68
6;66;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;66;Ipimax Etanol Aditivado;Aditivado;4.08
1;66;Original gasolina;Comum;3.28
2;66;Original Diesel ;Comum;3.88
3;66;Original Etanol ;Comum;3.08
7;66;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;67;Ipimax Gasolina Aditivada;Aditivado;4.68
6;67;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;67;Ipimax Etanol Aditivado;Aditivado;4.08
1;67;Original gasolina;Comum;3.28
2;67;Original Diesel ;Comum;3.88
3;67;Original Etanol ;Comum;3.08
7;67;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;68;Ipimax Gasolina Aditivada;Aditivado;4.68
6;68;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;68;Ipimax Etanol Aditivado;Aditivado;4.08
1;68;Original gasolina;Comum;3.28
2;68;Original Diesel ;Comum;3.88
3;68;Original Etanol ;Comum;3.08
7;68;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;69;Ipimax Gasolina Aditivada;Aditivado;4.68
6;69;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;69;Ipimax Etanol Aditivado;Aditivado;4.08
1;69;Original gasolina;Comum;3.28
2;69;Original Diesel ;Comum;3.88
3;69;Original Etanol ;Comum;3.08
7;69;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;70;Ipimax Gasolina Aditivada;Aditivado;4.68
6;70;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;70;Ipimax Etanol Aditivado;Aditivado;4.08
1;70;Original gasolina;Comum;3.28
2;70;Original Diesel ;Comum;3.88
3;70;Original Etanol ;Comum;3.08
7;70;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;71;Ipimax Gasolina Aditivada;Aditivado;4.68
6;71;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;71;Ipimax Etanol Aditivado;Aditivado;4.08
1;71;Original gasolina;Comum;3.28
2;71;Original Diesel ;Comum;3.88
3;71;Original Etanol ;Comum;3.08
7;71;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;72;Ipimax Gasolina Aditivada;Aditivado;4.68
6;72;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;72;Ipimax Etanol Aditivado;Aditivado;4.08
1;72;Original gasolina;Comum;3.28
2;72;Original Diesel ;Comum;3.88
3;72;Original Etanol ;Comum;3.08
7;72;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;73;Ipimax Gasolina Aditivada;Aditivado;4.68
6;73;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;73;Ipimax Etanol Aditivado;Aditivado;4.08
1;73;Original gasolina;Comum;3.28
2;73;Original Diesel ;Comum;3.88
3;73;Original Etanol ;Comum;3.08
7;73;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;74;Ipimax Gasolina Aditivada;Aditivado;4.68
6;74;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;74;Ipimax Etanol Aditivado;Aditivado;4.08
1;74;Original gasolina;Comum;3.28
2;74;Original Diesel ;Comum;3.88
3;74;Original Etanol ;Comum;3.08
7;74;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;75;Ipimax Gasolina Aditivada;Aditivado;4.68
6;75;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;75;Ipimax Etanol Aditivado;Aditivado;4.08
1;75;Original gasolina;Comum;3.28
2;75;Original Diesel ;Comum;3.88
3;75;Original Etanol ;Comum;3.08
7;75;Ipimax Pro Gasolina Premium Aditivada;Premium;5.48
4;76;Ipimax Gasolina Aditivada;Aditivado;4.68
6;76;Ipimax Diesel S10 Aditivado;Aditivado;4.88
5;76;Ipimax Etanol Aditivado;Aditivado;4.08
1;76;Original gasolina;Comum;3.28
2;76;Original Diesel ;Comum;3.88
