id_registro,id_comb,id_data,nome_comb,tipo_comb,custo_comb,revenda_comb
15573,6,26,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15574,5,26,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15575,1,26,"Original gasolina",Comum,3.28,4.1
15576,2,26,"Original Diesel ",Comum,3.88,4.85
15577,3,26,"Original Etanol ",Comum,3.08,3.85
15579,4,27,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15580,6,27,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15581,5,27,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15582,1,27,"Original gasolina",Comum,3.28,4.1
15583,2,27,"Original Diesel ",Comum,3.88,4.85
15584,3,27,"Original Etanol ",Comum,3.08,3.85
15586,4,28,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15587,6,28,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15588,5,28,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15589,1,28,"Original gasolina",Comum,3.28,4.1
15590,2,28,"Original Diesel ",Comum,3.88,4.85
15591,3,28,"Original Etanol ",Comum,3.08,3.85
15593,4,29,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15594,6,29,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15595,5,29,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15596,1,29,"Original gasolina",Comum,3.28,4.1
15597,2,29,"Original Diesel ",Comum,3.88,4.85
15598,3,29,"Original Etanol ",Comum,3.08,3.85
15600,4,30,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15601,6,30,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15602,5,30,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15603,1,30,"Original gasolina",Comum,3.28,4.1
15604,2,30,"Original Diesel ",Comum,3.88,4.85
15605,3,30,"Original Etanol ",Comum,3.08,3.85
15607,4,31,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15608,6,31,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15609,5,31,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15610,1,31,"Original gasolina",Comum,3.28,4.1
15611,2,31,"Original Diesel ",Comum,3.88,4.85
15612,3,31,"Original Etanol ",Comum,3.08,3.85
15614,4,32,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15615,6,32,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15616,5,32,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15617,1,32,"Original gasolina",Comum,3.28,4.1
15618,2,32,"Original Diesel ",Comum,3.88,4.85
15619,3,32,"Original Etanol ",Comum,3.08,3.85
15621,4,33,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15622,6,33,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15623,5,33,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15624,1,33,"Original gasolina",Comum,3.28,4.1
15625,2,33,"Original Diesel ",Comum,3.88,4.85
15626,3,33,"Original Etanol ",Comum,3.08,3.85
15628,4,34,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15629,6,34,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15630,5,34,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15631,1,34,"Original gasolina",Comum,3.28,4.1
15632,2,34,"Original Diesel ",Comum,3.88,4.85
15633,3,34,"Original Etanol ",Comum,3.08,3.85
15635,4,35,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15636,6,35,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15637,5,35,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15638,1,35,"Original gasolina",Comum,3.28,4.1
15639,2,35,"Original Diesel ",Comum,3.88,4.85
15640,3,35,"Original Etanol ",Comum,3.08,3.85
15642,4,36,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15643,6,36,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15644,5,36,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15645,1,36,"Original gasolina",Comum,3.28,4.1
15646,2,36,"Original Diesel ",Comum,3.88,4.85
15647,3,36,"Original Etanol ",Comum,3.08,3.85
15649,4,37,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15650,6,37,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15651,5,37,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15652,1,37,"Original gasolina",Comum,3.28,4.1
15653,2,37,"Original Diesel ",Comum,3.88,4.85
15654,3,37,"Original Etanol ",Comum,3.08,3.85
15656,4,38,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15657,6,38,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15658,5,38,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15659,1,38,"Original gasolina",Comum,3.28,4.1
15660,2,38,"Original Diesel ",Comum,3.88,4.85
15661,3,38,"Original Etanol ",Comum,3.08,3.85
15663,4,39,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15664,6,39,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15665,5,39,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15666,1,39,"Original gasolina",Comum,3.28,4.1
15667,2,39,"Original Diesel ",Comum,3.88,4.85
15668,3,39,"Original Etanol ",Comum,3.08,3.85
15670,4,40,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15671,6,40,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15672,5,40,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15673,1,40,"Original gasolina",Comum,3.28,4.1
15674,2,40,"Original Diesel ",Comum,3.88,4.85
15675,3,40,"Original Etanol ",Comum,3.08,3.85
15677,4,41,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15678,6,41,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15679,5,41,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15680,1,41,"Original gasolina",Comum,3.28,4.1
15681,2,41,"Original Diesel ",Comum,3.88,4.85
15682,3,41,"Original Etanol ",Comum,3.08,3.85
15684,4,42,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15685,6,42,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15686,5,42,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15687,1,42,"Original gasolina",Comum,3.28,4.1
15688,2,42,"Original Diesel ",Comum,3.88,4.85
15689,3,42,"Original Etanol ",Comum,3.08,3.85
15691,4,43,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15692,6,43,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15693,5,43,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15694,1,43,"Original gasolina",Comum,3.28,4.1
15695,2,43,"Original Diesel ",Comum,3.88,4.85
15696,3,43,"Original Etanol ",Comum,3.08,3.85
15698,4,44,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15699,6,44,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15700,5,44,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15701,1,44,"Original gasolina",Comum,3.28,4.1
15702,2,44,"Original Diesel ",Comum,3.88,4.85
15703,3,44,"Original Etanol ",Comum,3.08,3.85
15705,4,45,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15706,6,45,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15707,5,45,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15708,1,45,"Original gasolina",Comum,3.28,4.1
15709,2,45,"Original Diesel ",Comum,3.88,4.85
15710,3,45,"Original Etanol ",Comum,3.08,3.85
15712,4,46,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15713,6,46,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15714,5,46,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15715,1,46,"Original gasolina",Comum,3.28,4.1
15716,2,46,"Original Diesel ",Comum,3.88,4.85
15717,3,46,"Original Etanol ",Comum,3.08,3.85
15719,4,47,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15720,6,47,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15721,5,47,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15722,1,47,"Original gasolina",Comum,3.28,4.1
15723,2,47,"Original Diesel ",Comum,3.88,4.85
15724,3,47,"Original Etanol ",Comum,3.08,3.85
15726,4,48,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15727,6,48,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15728,5,48,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15729,1,48,"Original gasolina",Comum,3.28,4.1
15730,2,48,"Original Diesel ",Comum,3.88,4.85
15731,3,48,"Original Etanol ",Comum,3.08,3.85
15733,4,49,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15734,6,49,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15735,5,49,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15736,1,49,"Original gasolina",Comum,3.28,4.1
15737,2,49,"Original Diesel ",Comum,3.88,4.85
15738,3,49,"Original Etanol ",Comum,3.08,3.85
15740,4,50,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15741,6,50,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15742,5,50,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15743,1,50,"Original gasolina",Comum,3.28,4.1
15744,2,50,"Original Diesel ",Comum,3.88,4.85
15745,3,50,"Original Etanol ",Comum,3.08,3.85
15747,4,51,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15748,6,51,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15749,5,51,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15750,1,51,"Original gasolina",Comum,3.28,4.1
15751,2,51,"Original Diesel ",Comum,3.88,4.85
15752,3,51,"Original Etanol ",Comum,3.08,3.85
15754,4,52,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15755,6,52,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15756,5,52,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15757,1,52,"Original gasolina",Comum,3.28,4.1
15758,2,52,"Original Diesel ",Comum,3.88,4.85
15759,3,52,"Original Etanol ",Comum,3.08,3.85
15761,4,53,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15762,6,53,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15763,5,53,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15764,1,53,"Original gasolina",Comum,3.28,4.1
15765,2,53,"Original Diesel ",Comum,3.88,4.85
15766,3,53,"Original Etanol ",Comum,3.08,3.85
15768,4,54,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15769,6,54,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15770,5,54,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15771,1,54,"Original gasolina",Comum,3.28,4.1
15772,2,54,"Original Diesel ",Comum,3.88,4.85
15773,3,54,"Original Etanol ",Comum,3.08,3.85
15775,4,55,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15776,6,55,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15777,5,55,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15778,1,55,"Original gasolina",Comum,3.28,4.1
15779,2,55,"Original Diesel ",Comum,3.88,4.85
15780,3,55,"Original Etanol ",Comum,3.08,3.85
15782,4,56,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15783,6,56,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15784,5,56,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15785,1,56,"Original gasolina",Comum,3.28,4.1
15786,2,56,"Original Diesel ",Comum,3.88,4.85
15787,3,56,"Original Etanol ",Comum,3.08,3.85
15789,4,57,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15790,6,57,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15791,5,57,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15792,1,57,"Original gasolina",Comum,3.28,4.1
15793,2,57,"Original Diesel ",Comum,3.88,4.85
15794,3,57,"Original Etanol ",Comum,3.08,3.85
15796,4,58,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15797,6,58,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15798,5,58,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15799,1,58,"Original gasolina",Comum,3.28,4.1
15800,2,58,"Original Diesel ",Comum,3.88,4.85
15801,3,58,"Original Etanol ",Comum,3.08,3.85
15803,4,59,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15804,6,59,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15805,5,59,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15806,1,59,"Original gasolina",Comum,3.28,4.1
15807,2,59,"Original Diesel ",Comum,3.88,4.85
15808,3,59,"Original Etanol ",Comum,3.08,3.85
15810,4,60,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15811,6,60,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15812,5,60,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15813,1,60,"Original gasolina",Comum,3.28,4.1
15814,2,60,"Original Diesel ",Comum,3.88,4.85
15815,3,60,"Original Etanol ",Comum,3.08,3.85
15817,4,61,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15818,6,61,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15819,5,61,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15820,1,61,"Original gasolina",Comum,3.28,4.1
15821,2,61,"Original Diesel ",Comum,3.88,4.85
15822,3,61,"Original Etanol ",Comum,3.08,3.85
15824,4,62,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15825,6,62,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15826,5,62,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15827,1,62,"Original gasolina",Comum,3.28,4.1
15828,2,62,"Original Diesel ",Comum,3.88,4.85
15829,3,62,"Original Etanol ",Comum,3.08,3.85
15831,4,63,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15832,6,63,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15833,5,63,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15834,1,63,"Original gasolina",Comum,3.28,4.1
15835,2,63,"Original Diesel ",Comum,3.88,4.85
15836,3,63,"Original Etanol ",Comum,3.08,3.85
15838,4,64,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15839,6,64,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15840,5,64,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15841,1,64,"Original gasolina",Comum,3.28,4.1
15842,2,64,"Original Diesel ",Comum,3.88,4.85
15843,3,64,"Original Etanol ",Comum,3.08,3.85
15845,4,65,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15846,6,65,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15847,5,65,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15848,1,65,"Original gasolina",Comum,3.28,4.1
15849,2,65,"Original Diesel ",Comum,3.88,4.85
15850,3,65,"Original Etanol ",Comum,3.08,3.85
15852,4,66,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15853,6,66,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15854,5,66,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15855,1,66,"Original gasolina",Comum,3.28,4.1
15856,2,66,"Original Diesel ",Comum,3.88,4.85
15857,3,66,"Original Etanol ",Comum,3.08,3.85
15859,4,67,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15860,6,67,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15861,5,67,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15862,1,67,"Original gasolina",Comum,3.28,4.1
15863,2,67,"Original Diesel ",Comum,3.88,4.85
15864,3,67,"Original Etanol ",Comum,3.08,3.85
15866,4,68,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15867,6,68,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15868,5,68,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15869,1,68,"Original gasolina",Comum,3.28,4.1
15870,2,68,"Original Diesel ",Comum,3.88,4.85
15871,3,68,"Original Etanol ",Comum,3.08,3.85
15873,4,69,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15874,6,69,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15875,5,69,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15876,1,69,"Original gasolina",Comum,3.28,4.1
15877,2,69,"Original Diesel ",Comum,3.88,4.85
15878,3,69,"Original Etanol ",Comum,3.08,3.85
15880,4,70,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
15881,6,70,"Ipimax Diesel S10 Aditivado",Aditivado,4.88,6.1
15882,5,70,"Ipimax Etanol Aditivado",Aditivado,4.08,5.1
15883,1,70,"Original gasolina",Comum,3.28,4.1
15884,2,70,"Original Diesel ",Comum,3.88,4.85
15885,3,70,"Original Etanol ",Comum,3.08,3.85
15887,4,71,"Ipimax Gasolina Aditivada",Aditivado,4.68,5.85
